accel,angle,brake,clutch,curLapTime,damage,dist_from_start,dist_raced,fuel,gear,opponents,race_pos,rpm,speed_x,speed_y,speed_z,steer,track,track_pos,wheel_spin_vel,z
0.0,0.00288122,0.0,0.0,-0.982,1.0,3327.43,0.0,94.0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,942.478,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.962,1.0,3327.43,0.0,94.0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1100.33,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.942,1.0,3327.43,0.0,93.9999,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1263.95,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.922,1.0,3327.43,0.0,93.9998,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1432.32,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.902,1.0,3327.43,0.0,93.9997,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1605.57,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.882,1.0,3327.43,0.0,93.9997,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1783.85,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.862,1.0,3327.43,0.0,93.9996,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1967.31,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.842,1.0,3327.43,0.0,93.9995,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2156.5,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.822,1.0,3327.43,0.0,93.9994,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2359.56,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
1.0,0.00288122,0.0,0.0,-0.802,1.0,3327.43,0.0,93.9993,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,2580.78,0.00125053,0.103119,-0.0301149,0.0,"[14.9731, 15.5133, 17.3183, 21.2364, 30.0964, 44.1278, 58.4805, 87.6591, 177.648, 200.0, 166.919, 85.1458, 57.4423, 43.591, 29.9048, 21.1904, 17.3229, 15.5451, 15.027]",0.00179691,"[0.0, 0.0, 0.0, 0.0]",0.345299
